L 06/18/2010 - 16:24:50: Log file started (file "cstrike/addons/amxmodx/configs/csf_anticheat/logs/csf_ac_cmdflood.log") (game "cstrike") (amx "1.8.1.3746")
L 06/18/2010 - 16:24:50: CMDFlood * Nick: <~DENIS~> , IP: <10.33.102.109> , SteamID: <STEAM_0:4:1646092761> , CmdFlood: <vest>
L 06/20/2010 - 13:45:22: CMDFlood * Nick: <XomI[4]> , IP: <95.30.66.115> , SteamID: <STEAM_0:4:1829731955> , CmdFlood: <alias>
L 06/20/2010 - 14:39:55: CMDFlood * Nick: <XomI[4]> , IP: <95.30.66.115> , SteamID: <STEAM_0:4:1829731955> , CmdFlood: <alias>
L 06/20/2010 - 17:50:46: CMDFlood * Nick: <XomI[4]> , IP: <95.30.66.115> , SteamID: <STEAM_0:4:1829731955> , CmdFlood: <alias>
L 06/20/2010 - 17:52:44: CMDFlood * Nick: <XomI[4]> , IP: <95.30.66.115> , SteamID: <STEAM_0:4:1829731955> , CmdFlood: <alias>
L 06/21/2010 - 10:37:42: CMDFlood * Nick: <XomI[4]> , IP: <95.30.61.99> , SteamID: <STEAM_0:4:1697709683> , CmdFlood: <alias>
L 06/21/2010 - 11:30:35: CMDFlood * Nick: <XomI[4]> , IP: <95.30.61.99> , SteamID: <STEAM_0:4:1697709683> , CmdFlood: <alias>
L 06/21/2010 - 12:31:40: CMDFlood * Nick: <XomI[4]> , IP: <95.30.61.99> , SteamID: <STEAM_0:4:1697709683> , CmdFlood: <alias>
L 06/21/2010 - 14:30:05: CMDFlood * Nick: <XomI[4]> , IP: <95.30.61.99> , SteamID: <STEAM_0:4:1697709683> , CmdFlood: <alias>
L 06/21/2010 - 22:10:52: CMDFlood * Nick: <XomI[4]> , IP: <95.30.61.99> , SteamID: <STEAM_0:4:1697709683> , CmdFlood: <alias>
L 06/21/2010 - 23:22:36: CMDFlood * Nick: <KaSpeR*> , IP: <78.138.171.184> , SteamID: <STEAM_0:0:2097913878> , CmdFlood: <alias>
L 06/22/2010 - 21:10:36: CMDFlood * Nick: <~DENIS~> , IP: <10.33.101.153> , SteamID: <STEAM_0:4:404546009> , CmdFlood: <defuser>
L 06/24/2010 - 23:38:26: CMDFlood * Nick: <JULIA> , IP: <91.190.70.4> , SteamID: <STEAM_0:0:1698000570> , CmdFlood: <alias>
L 06/25/2010 - 18:05:11: CMDFlood * Nick: <~DENIS~> , IP: <10.33.103.33> , SteamID: <STEAM_0:4:1142809049> , CmdFlood: <secammo>
L 06/26/2010 - 14:56:16: CMDFlood * Nick: <~DENIS~> , IP: <10.33.101.37> , SteamID: <STEAM_0:4:1176297945> , CmdFlood: <timeleft>
L 06/26/2010 - 21:18:02: CMDFlood * Nick: <XomI[4]> , IP: <95.30.39.121> , SteamID: <STEAM_0:4:1748893299> , CmdFlood: <alias>
L 06/26/2010 - 23:04:41: CMDFlood * Nick: <XomI[4]> , IP: <95.30.39.121> , SteamID: <STEAM_0:4:1748893299> , CmdFlood: <alias>
L 06/27/2010 - 11:28:54: CMDFlood * Nick: <XomI[4]> , IP: <95.30.60.239> , SteamID: <STEAM_0:4:590380659> , CmdFlood: <alias>
L 06/27/2010 - 14:56:52: CMDFlood * Nick: <~DENIS~> , IP: <10.33.103.230> , SteamID: <STEAM_0:4:664658393> , CmdFlood: <timeleft>
L 06/28/2010 - 15:43:32: CMDFlood * Nick: <~DENIS~> , IP: <10.33.103.28> , SteamID: <STEAM_0:4:1520296409> , CmdFlood: <secammo>
L 06/28/2010 - 18:53:29: CMDFlood * Nick: <lolo1> , IP: <95.30.66.13> , SteamID: <STEAM_0:4:1376747123> , CmdFlood: <alias>
L 07/12/2010 - 08:15:04: CMDFlood * Nick: <BaH9> , IP: <91.206.18.200> , SteamID: <STEAM_0:0:1223024159> , CmdFlood: <alias>
L 07/12/2010 - 13:41:30: CMDFlood * Nick: <G  L A D I A T O R> , IP: <93.84.35.239> , SteamID: <STEAM_0:4:591387506> , CmdFlood: <alias>
L 07/13/2010 - 18:03:52: CMDFlood * Nick: <mini MEN> , IP: <91.103.77.58> , SteamID: <STEAM_0:0:876333566> , CmdFlood: <alias>
L 07/13/2010 - 19:20:48: CMDFlood * Nick: <B4er> , IP: <94.221.99.133> , SteamID: <STEAM_0:0:295685> , CmdFlood: <use>
L 07/15/2010 - 21:19:21: CMDFlood * Nick: <popuaS> , IP: <95.30.65.201> , SteamID: <STEAM_0:4:806289011> , CmdFlood: <alias>
L 07/16/2010 - 11:44:38: CMDFlood * Nick: <SD Diamon102RUS> , IP: <92.50.179.39> , SteamID: <STEAM_0:4:1199040626> , CmdFlood: <aPWJ>
L 07/16/2010 - 13:38:05: CMDFlood * Nick: <popuaS> , IP: <95.30.62.146> , SteamID: <STEAM_0:4:498171507> , CmdFlood: <alias>
L 07/17/2010 - 08:20:14: CMDFlood * Nick: <*Super-Grover*> , IP: <77.239.236.133> , SteamID: <STEAM_0:4:374867706> , CmdFlood: <vesthelm>
L 07/17/2010 - 20:28:49: CMDFlood * Nick: <HalI,u3M_B_4e4He> , IP: <85.140.66.3> , SteamID: <STEAM_0:0:833801151> , CmdFlood: <defuser>
L 07/18/2010 - 16:45:47: CMDFlood * Nick: <mr.pupkin> , IP: <78.25.151.126> , SteamID: <STEAM_0:0:1363091240> , CmdFlood: <fullupdate>
L 07/18/2010 - 22:30:23: CMDFlood * Nick: <popuaS> , IP: <95.30.63.190> , SteamID: <STEAM_0:4:196214387> , CmdFlood: <alias>
L 07/19/2010 - 18:06:18: CMDFlood * Nick: <HalI,u3M_B_4e4He> , IP: <91.78.229.242> , SteamID: <STEAM_0:0:833801151> , CmdFlood: <sgren>
L 07/19/2010 - 22:49:03: CMDFlood * Nick: <GreshNEEK-/-> , IP: <91.197.77.250> , SteamID: <STEAM_0:0:1637742230> , CmdFlood: <cl_weapon>
L 07/20/2010 - 19:54:47: CMDFlood * Nick: <~Godzilla~> , IP: <91.203.170.211> , SteamID: <STEAM_0:4:1031476465> , CmdFlood: <sgren>
L 07/21/2010 - 14:12:01: CMDFlood * Nick: <popuaS> , IP: <95.30.61.21> , SteamID: <STEAM_0:4:1580269171> , CmdFlood: <alias>
L 07/21/2010 - 21:54:12: CMDFlood * Nick: <~DENIS~> , IP: <91.203.170.220> , SteamID: <STEAM_0:4:989533425> , CmdFlood: <timeleft>
L 07/22/2010 - 19:34:08: CMDFlood * Nick: <popuaS> , IP: <95.30.66.150> , SteamID: <STEAM_0:4:529497715> , CmdFlood: <alias>
L 07/22/2010 - 22:11:22: CMDFlood * Nick: <popuaS> , IP: <95.30.66.150> , SteamID: <STEAM_0:4:529497715> , CmdFlood: <alias>
L 07/23/2010 - 14:34:36: CMDFlood * Nick: <No> , IP: <94.158.52.161> , SteamID: <STEAM_0:4:70532723> , CmdFlood: <alias>
L 07/23/2010 - 20:22:31: CMDFlood * Nick: <mama GOSHEI nazvala> , IP: <91.103.77.63> , SteamID: <STEAM_0:4:1258865393> , CmdFlood: <alias>
L 07/27/2010 - 12:35:01: CMDFlood * Nick: <popuaS> , IP: <95.30.36.187> , SteamID: <STEAM_0:4:154959475> , CmdFlood: <alias>
L 07/28/2010 - 08:32:43: CMDFlood * Nick: <Nastenka-Zayac=)> , IP: <91.206.18.171> , SteamID: <STEAM_0:0:783216787> , CmdFlood: <alias>
L 07/28/2010 - 09:22:01: CMDFlood * Nick: <mama GOSHEI nazvala> , IP: <91.103.77.63> , SteamID: <STEAM_0:4:1258865393> , CmdFlood: <alias>
L 07/29/2010 - 12:52:42: CMDFlood * Nick: <popuaS> , IP: <95.30.39.103> , SteamID: <STEAM_0:4:1732116083> , CmdFlood: <alias>
L 07/30/2010 - 15:33:39: CMDFlood * Nick: <><> , IP: <95.30.36.195> , SteamID: <STEAM_0:4:893156979> , CmdFlood: <alias>
L 08/01/2010 - 05:42:56: CMDFlood * Nick: <. * RaDiK 38 DoM *.> , IP: <92.53.111.231> , SteamID: <STEAM_0:4:656010226> , CmdFlood: <aELJ>
L 08/02/2010 - 01:47:22: CMDFlood * Nick: <HalI,u3M_B_4e4He> , IP: <85.140.64.165> , SteamID: <STEAM_0:0:833801151> , CmdFlood: <flash>
L 08/02/2010 - 18:04:02: CMDFlood * Nick: <|doLg0|> , IP: <95.30.64.12> , SteamID: <STEAM_0:4:1385070195> , CmdFlood: <alias>
L 08/02/2010 - 21:40:53: CMDFlood * Nick: <965> , IP: <92.39.71.223> , SteamID: <STEAM_0:4:990765810> , CmdFlood: <flash>
L 08/03/2010 - 14:02:56: CMDFlood * Nick: <|doLg0|> , IP: <95.30.61.221> , SteamID: <STEAM_0:4:976289395> , CmdFlood: <alias>
L 08/03/2010 - 15:34:16: CMDFlood * Nick: <|doLg0|> , IP: <95.30.36.154> , SteamID: <STEAM_0:4:431783539> , CmdFlood: <alias>
L 08/03/2010 - 17:57:33: CMDFlood * Nick: <|doLg0|> , IP: <95.30.36.154> , SteamID: <STEAM_0:4:431783539> , CmdFlood: <alias>
L 08/04/2010 - 21:56:53: CMDFlood * Nick: <|doLg0|> , IP: <95.30.65.144> , SteamID: <STEAM_0:4:479133299> , CmdFlood: <alias>
L 08/05/2010 - 00:34:46: CMDFlood * Nick: <REMBO> , IP: <188.17.84.156> , SteamID: <STEAM_0:0:290508734> , CmdFlood: <aOUP>
L 08/05/2010 - 13:33:18: CMDFlood * Nick: <|doLg0|> , IP: <95.30.38.34> , SteamID: <STEAM_0:4:1170046579> , CmdFlood: <alias>
L 08/05/2010 - 15:44:44: CMDFlood * Nick: <|doLg0|> , IP: <95.30.38.34> , SteamID: <STEAM_0:4:1170046579> , CmdFlood: <alias>
L 08/06/2010 - 17:35:17: CMDFlood * Nick: <|doLg0|> , IP: <95.30.36.87> , SteamID: <STEAM_0:4:2134670963> , CmdFlood: <alias>
L 08/09/2010 - 09:09:41: CMDFlood * Nick: <SmaiL.tm>SpouK***[cl]> , IP: <91.103.79.57> , SteamID: <STEAM_0:0:1572141799> , CmdFlood: <alias>
L 08/10/2010 - 16:33:10: CMDFlood * Nick: <mama GOSHEI nazvala> , IP: <91.103.77.63> , SteamID: <STEAM_0:4:1258865393> , CmdFlood: <alias>
L 08/10/2010 - 16:37:45: CMDFlood * Nick: <TBo9I kucka)*> , IP: <217.66.22.1> , SteamID: <STEAM_0:0:1771112103> , CmdFlood: <alias>
L 08/11/2010 - 17:02:58: CMDFlood * Nick: <Donsun> , IP: <89.112.81.96> , SteamID: <STEAM_0:1:15868715> , CmdFlood: <aMYU>
L 08/13/2010 - 14:23:58: CMDFlood * Nick: <monsterkill> , IP: <91.203.240.209> , SteamID: <STEAM_0:4:1012274417> , CmdFlood: <radio1>
L 08/14/2010 - 15:11:00: CMDFlood * Nick: <Davun4u> , IP: <10.50.155.13> , SteamID: <STEAM_0:0:17042595> , CmdFlood: <buy_lasermine>
L 08/16/2010 - 23:57:43: CMDFlood * Nick: <JULIA> , IP: <91.190.70.4> , SteamID: <STEAM_0:0:1698000570> , CmdFlood: <alias>
L 08/18/2010 - 05:26:46: CMDFlood * Nick: <zG.`DK> , IP: <91.206.18.214> , SteamID: <STEAM_0:4:1067914865> , CmdFlood: <alias>
L 08/18/2010 - 22:02:27: CMDFlood * Nick: <[NMSK]fresh1888> , IP: <91.103.79.138> , SteamID: <STEAM_0:0:1970834875> , CmdFlood: <alias>
L 08/20/2010 - 22:23:17: CMDFlood * Nick: <965> , IP: <92.39.71.50> , SteamID: <STEAM_0:4:1301144306> , CmdFlood: <sgren>
L 08/22/2010 - 00:13:39: CMDFlood * Nick: <f i l o s o f_zp_ua> , IP: <91.195.185.68> , SteamID: <STEAM_0:4:1995608305> , CmdFlood: <alias>
L 08/22/2010 - 16:56:53: CMDFlood * Nick: <grif> , IP: <188.134.36.210> , SteamID: <STEAM_0:0:2043172215> , CmdFlood: <aNHF>
L 08/27/2010 - 17:33:27: CMDFlood * Nick: <T.$.@.R.> , IP: <91.200.224.20> , SteamID: <STEAM_0:4:1591612785> , CmdFlood: <aENX>
L 08/27/2010 - 20:20:10: CMDFlood * Nick: <HalI,u3M_B_4e4He> , IP: <85.141.167.146> , SteamID: <STEAM_0:0:230317556> , CmdFlood: <sgren>
L 08/29/2010 - 22:18:58: CMDFlood * Nick: <manager> , IP: <10.50.103.25> , SteamID: <STEAM_0:4:1478355033> , CmdFlood: <madness>
L 09/04/2010 - 06:48:43: CMDFlood * Nick: <AsdGaming | TalibanKocken :)> , IP: <91.95.251.225> , SteamID: <STEAM_0:1:33713668> , CmdFlood: <-walk>
L 09/07/2010 - 17:08:56: CMDFlood * Nick: <breesdy.sk.deone:DDD> , IP: <91.191.119.178> , SteamID: <VALVE_0:4:227913457> , CmdFlood: <vban>
L 09/07/2010 - 20:47:57: CMDFlood * Nick: <made by ebay> , IP: <91.32.238.223> , SteamID: <STEAM_0:0:67060> , CmdFlood: <timeleft>
L 09/07/2010 - 23:23:49: CMDFlood * Nick: <K-9> , IP: <91.209.51.53> , SteamID: <STEAM_0:4:1312266737> , CmdFlood: <drop>
L 09/08/2010 - 03:43:31: CMDFlood * Nick: <SiNiY_909> , IP: <91.195.136.11> , SteamID: <STEAM_0:0:901696067> , CmdFlood: <fullupdate>
L 09/13/2010 - 19:28:15: CMDFlood * Nick: <Wh1te ONe (O_o)> , IP: <212.21.16.255> , SteamID: <STEAM_0:4:723942326> , CmdFlood: <cd_sound>
L 09/17/2010 - 04:17:59: CMDFlood * Nick: <M-16*Perseverance^Garen^Of^LoL> , IP: <95.84.174.176> , SteamID: <STEAM_0:0:35069503> , CmdFlood: <defuser>
L 09/19/2010 - 10:14:19: CMDFlood * Nick: <kosa> , IP: <92.100.176.189> , SteamID: <STEAM_0:4:175522674> , CmdFlood: <aLOI>
L 09/19/2010 - 23:55:27: CMDFlood * Nick: <Van109> , IP: <88.135.84.107> , SteamID: <STEAM_0:4:1627665136> , CmdFlood: <hegren>
L 09/20/2010 - 00:44:04: CMDFlood * Nick: <4epHyxa> , IP: <212.106.33.49> , SteamID: <STEAM_0:4:1279181878> , CmdFlood: <w>
L 09/20/2010 - 03:39:41: CMDFlood * Nick: <dorfkamikaze> , IP: <91.186.32.74> , SteamID: <STEAM_0:1:11421705> , CmdFlood: <aLIK>
L 09/24/2010 - 13:20:50: CMDFlood * Nick: <gNk>+r> , IP: <91.78.228.242> , SteamID: <STEAM_0:0:1710766651> , CmdFlood: <flash>
L 09/27/2010 - 21:53:47: CMDFlood * Nick: <ff> , IP: <91.122.22.195> , SteamID: <STEAM_0:1:16124066> , CmdFlood: <sgren>
L 09/28/2010 - 04:06:37: CMDFlood * Nick: <Chechen_Vechen> , IP: <95.73.125.250> , SteamID: <STEAM_0:0:428404280> , CmdFlood: <m4a1>
L 09/30/2010 - 17:56:03: CMDFlood * Nick: <mnemic> , IP: <91.209.51.53> , SteamID: <STEAM_0:4:1312266737> , CmdFlood: <drop>
L 10/01/2010 - 18:40:49: CMDFlood * Nick: <manager> , IP: <10.50.103.25> , SteamID: <STEAM_0:4:1478355033> , CmdFlood: <madness>
L 10/05/2010 - 22:38:57: CMDFlood * Nick: <c01t> , IP: <95.139.128.91> , SteamID: <STEAM_0:4:2037265651> , CmdFlood: <gl_fog>
L 10/10/2010 - 18:53:47: CMDFlood * Nick: <GaGa> , IP: <91.188.145.113> , SteamID: <STEAM_0:4:1818668913> , CmdFlood: <vesthelm>
L 10/11/2010 - 23:52:04: CMDFlood * Nick: <ARA> , IP: <77.43.177.114> , SteamID: <STEAM_0:0:1648277024> , CmdFlood: <aWHY>
L 10/13/2010 - 21:28:21: CMDFlood * Nick: <T.$.@.R.> , IP: <91.200.224.20> , SteamID: <STEAM_0:4:1591612785> , CmdFlood: <aENX>
L 10/15/2010 - 20:31:32: CMDFlood * Nick: <Be> , IP: <88.151.252.205> , SteamID: <STEAM_0:4:844118768> , CmdFlood: <kosmi>
L 10/18/2010 - 18:04:15: CMDFlood * Nick: <BOROV 190> , IP: <91.194.247.231> , SteamID: <STEAM_0:0:232155980> , CmdFlood: <vmodenable>
L 10/28/2010 - 02:03:46: CMDFlood * Nick: <~millennium~_R[a]nd[o]m [cl']> , IP: <92.101.83.155> , SteamID: <STEAM_0:4:419939314> , CmdFlood: <secammo>
L 11/01/2010 - 15:51:05: CMDFlood * Nick: <Franki Glomurmurmur eto> , IP: <109.120.35.205> , SteamID: <STEAM_0:4:843042154> , CmdFlood: <w>
L 11/02/2010 - 13:37:00: CMDFlood * Nick: <$$$NICK$$$>[11RUS]> , IP: <95.52.239.181> , SteamID: <STEAM_0:0:286088587> , CmdFlood: <fullupdate>
L 11/02/2010 - 13:37:22: CMDFlood * Nick: <$$$NICK$$$>[11RUS]> , IP: <95.52.239.181> , SteamID: <STEAM_0:0:286088587> , CmdFlood: <fullupdate>
L 11/05/2010 - 21:01:14: CMDFlood * Nick: <maXimus> , IP: <91.64.171.235> , SteamID: <STEAM_0:0:20034396> , CmdFlood: <ak47>
L 11/06/2010 - 15:41:37: CMDFlood * Nick: <Fil> , IP: <213.184.224.43> , SteamID: <STEAM_0:4:1096690998> , CmdFlood: <motd_write>
L 11/09/2010 - 01:38:12: CMDFlood * Nick: <n1> , IP: <91.103.79.56> , SteamID: <STEAM_0:1:26921105> , CmdFlood: <follownext>
L 11/14/2010 - 03:40:59: CMDFlood * Nick: <My}l{uK u3 AlabAmbl> , IP: <94.19.0.177> , SteamID: <STEAM_0:4:204372211> , CmdFlood: <say>
L 11/14/2010 - 19:44:03: CMDFlood * Nick: <KUDRAY> , IP: <95.29.80.163> , SteamID: <STEAM_0:4:84312051> , CmdFlood: <sv_fps>
L 11/17/2010 - 00:45:27: CMDFlood * Nick: <A.C.A.B.> , IP: <94.19.100.251> , SteamID: <STEAM_0:0:1495462275> , CmdFlood: <-attack2wait>
L 11/21/2010 - 03:28:52: CMDFlood * Nick: <[ANTIMAT]Nick deleted> , IP: <77.50.15.115> , SteamID: <STEAM_0:0:1497352029> , CmdFlood: <vmodenable>
L 11/21/2010 - 20:28:56: CMDFlood * Nick: <fedor99> , IP: <217.118.91.37> , SteamID: <STEAM_0:0:760011709> , CmdFlood: <vban>
L 11/25/2010 - 07:08:38: CMDFlood * Nick: <tak nado> , IP: <91.143.46.14> , SteamID: <STEAM_0:0:1431430272> , CmdFlood: <secammo>
L 11/26/2010 - 12:08:50: CMDFlood * Nick: <--|60JIT HA 20|--> , IP: <92.101.114.229> , SteamID: <STEAM_0:0:1303526104> , CmdFlood: <vmodenable>
L 11/26/2010 - 18:17:18: CMDFlood * Nick: <1Kn1fe!!111> , IP: <95.189.138.254> , SteamID: <STEAM_0:0:761874725> , CmdFlood: <gl_lightholes>
L 11/27/2010 - 15:44:00: CMDFlood * Nick: <Chev_Chelios> , IP: <94.232.232.229> , SteamID: <STEAM_0:0:1038640010> , CmdFlood: <gl_fog>
L 11/28/2010 - 23:02:21: CMDFlood * Nick: <[V][S][M]> , IP: <95.27.204.106> , SteamID: <STEAM_0:4:1640529139> , CmdFlood: <w>
L 12/01/2010 - 03:10:02: CMDFlood * Nick: <ReGar> , IP: <94.26.131.251> , SteamID: <STEAM_0:0:695322813> , CmdFlood: <vmodenable>
L 12/04/2010 - 14:24:09: CMDFlood * Nick: <BuKa (vkontakte.ru/id94176311)> , IP: <188.134.43.32> , SteamID: <STEAM_0:4:1153151490> , CmdFlood: <say>
L 12/04/2010 - 19:14:43: CMDFlood * Nick: <LEXA> , IP: <81.20.102.154> , SteamID: <STEAM_0:0:1698880541> , CmdFlood: <ati_subdiv>
L 12/05/2010 - 13:53:44: CMDFlood * Nick: <(1)Chev_Chelios> , IP: <94.232.236.227> , SteamID: <STEAM_0:0:1038640010> , CmdFlood: <gl_fog>
L 12/08/2010 - 12:15:35: CMDFlood * Nick: <M4v3R1ckw0w~> , IP: <95.110.101.4> , SteamID: <STEAM_0:4:1453114995> , CmdFlood: <defuser>
L 12/09/2010 - 16:37:48: CMDFlood * Nick: <ka4ok> , IP: <92.55.20.243> , SteamID: <STEAM_0:4:757361394> , CmdFlood: <gl_polyoffset>
L 12/10/2010 - 17:28:34: CMDFlood * Nick: <[NIK][15]> , IP: <89.148.244.231> , SteamID: <STEAM_0:4:659831664> , CmdFlood: <gl_flipmatrix>
L 12/12/2010 - 01:15:05: CMDFlood * Nick: <[NIK][15]> , IP: <89.148.244.231> , SteamID: <STEAM_0:4:659831664> , CmdFlood: <gl_lightholes>
L 12/13/2010 - 13:35:22: CMDFlood * Nick: <tommmmmmmas:<3*> , IP: <109.187.122.29> , SteamID: <STEAM_0:0:963677294> , CmdFlood: <vmodenable>
L 12/13/2010 - 19:50:49: CMDFlood * Nick: <=Rastaman=> , IP: <95.53.58.190> , SteamID: <STEAM_0:0:2043990144> , CmdFlood: <gl_dither>
L 12/14/2010 - 20:54:07: CMDFlood * Nick: <^SkyNeT^<[KAIIUTAH]>> , IP: <178.64.75.99> , SteamID: <STEAM_0:4:1695273221> , CmdFlood: <gl_fog>
L 12/14/2010 - 22:29:59: CMDFlood * Nick: <I'm Head Shot> , IP: <189.15.240.86> , SteamID: <STEAM_0:4:2144761474> , CmdFlood: <hegren>
L 12/15/2010 - 22:27:34: CMDFlood * Nick: <anSECOND> , IP: <109.169.227.137> , SteamID: <STEAM_0:0:688596852> , CmdFlood: <setburst>
L 12/18/2010 - 15:42:31: CMDFlood * Nick: <unnamed> , IP: <83.174.246.81> , SteamID: <STEAM_0:0:837836324> , CmdFlood: <gl_lightholes>
L 12/18/2010 - 23:35:59: CMDFlood * Nick: <2k> , IP: <77.108.221.70> , SteamID: <STEAM_0:4:2009122682> , CmdFlood: <cl_min_ct>
L 12/19/2010 - 22:05:38: CMDFlood * Nick: <^SkyNeT^<[KAIIUTAH]>> , IP: <91.122.193.120> , SteamID: <STEAM_0:4:1758383217> , CmdFlood: <gl_dither>
L 12/21/2010 - 17:55:06: CMDFlood * Nick: <PePFecT TeAm|ViPeR> , IP: <91.214.222.213> , SteamID: <STEAM_0:4:1044454001> , CmdFlood: <gl_lightholes>
L 12/25/2010 - 17:57:40: CMDFlood * Nick: <partizan--> , IP: <91.192.189.211> , SteamID: <STEAM_0:0:964412841> , CmdFlood: <gl_lightholes>
L 12/27/2010 - 18:25:42: CMDFlood * Nick: <1Kn1fe!!111> , IP: <212.21.16.114> , SteamID: <STEAM_0:0:2112072899> , CmdFlood: <gl_lightholes>
L 12/29/2010 - 15:32:14: CMDFlood * Nick: <dron> , IP: <109.205.252.225> , SteamID: <STEAM_0:4:609228778> , CmdFlood: <vmodenable>
L 12/31/2010 - 22:07:33: CMDFlood * Nick: <kakula> , IP: <178.66.199.99> , SteamID: <STEAM_0:4:1699598341> , CmdFlood: <aQWI>
L 01/02/2011 - 16:32:09: CMDFlood * Nick: <0008> , IP: <93.80.14.175> , SteamID: <STEAM_0:4:53041522> , CmdFlood: <cd_sound>
L 01/03/2011 - 17:08:33: CMDFlood * Nick: <xD> , IP: <109.73.195.30> , SteamID: <STEAM_0:4:1540347370> , CmdFlood: <fullupdate>
L 01/03/2011 - 21:01:41: CMDFlood * Nick: <cck> , IP: <188.143.133.38> , SteamID: <STEAM_0:4:1206695554> , CmdFlood: <gl_lightholes>
L 01/04/2011 - 19:15:20: CMDFlood * Nick: <.:M9cO^tm*|KILLER 47[PEM6O]> , IP: <188.134.42.79> , SteamID: <STEAM_0:4:1933259266> , CmdFlood: <gl_overbright>
L 01/06/2011 - 09:17:28: CMDFlood * Nick: <Player> , IP: <178.206.204.75> , SteamID: <STEAM_0:4:1900549637> , CmdFlood: <secammo>
L 01/07/2011 - 05:30:55: CMDFlood * Nick: <Ziro> , IP: <217.8.225.89> , SteamID: <STEAM_0:4:2019489072> , CmdFlood: <cd_fps>
L 01/10/2011 - 15:21:44: CMDFlood * Nick: <Piro}i{oK> , IP: <10.149.33.20> , SteamID: <STEAM_0:0:624171086> , CmdFlood: <gl_lightholes>
L 01/11/2011 - 13:00:31: CMDFlood * Nick: <Piro}i{oK> , IP: <10.149.33.20> , SteamID: <STEAM_0:0:624171086> , CmdFlood: <gl_lightholes>
L 01/14/2011 - 22:10:33: CMDFlood * Nick: <PePFecT TeAm|ViPeR> , IP: <91.214.222.128> , SteamID: <STEAM_0:4:348199537> , CmdFlood: <gl_lightholes>
L 01/15/2011 - 20:46:23: CMDFlood * Nick: <miko> , IP: <91.185.0.107> , SteamID: <STEAM_0:4:1630416369> , CmdFlood: <vmodenable>
L 01/16/2011 - 00:08:43: CMDFlood * Nick: <Roman 14/88> , IP: <212.106.44.82> , SteamID: <STEAM_0:0:228500727> , CmdFlood: <vmodenable>
