L 06/22/2010 - 20:00:37: Log file started (file "cstrike/addons/amxmodx/configs/csf_anticheat/logs/csf_ac_fastfire.log") (game "cstrike") (amx "1.8.1.3746")
L 06/22/2010 - 20:00:37: FastFire * Nick: <*PK*=>K.O#GGT> , IP: <95.107.77.31> , SteamID: <STEAM_0:4:1527301363> , Ping: <58>
L 01/26/2011 - 15:10:31: FastFire * Nick: <~^007^~> , IP: <212.57.145.150> , SteamID: <STEAM_0:4:535227830> , Ping: <63>
L 01/26/2011 - 15:10:33: FastFire * Nick: <~^007^~> , IP: <212.57.145.150> , SteamID: <STEAM_0:4:535227830> , Ping: <67>
L 01/26/2011 - 15:10:34: FastFire * Nick: <~^007^~> , IP: <212.57.145.150> , SteamID: <STEAM_0:4:535227830> , Ping: <89>
L 01/26/2011 - 15:11:18: FastFire * Nick: <~^007^~> , IP: <212.57.145.150> , SteamID: <STEAM_0:4:535227830> , Ping: <50>
L 01/26/2011 - 15:11:26: FastFire * Nick: <~^007^~> , IP: <212.57.145.150> , SteamID: <STEAM_0:4:535227830> , Ping: <52>
L 01/26/2011 - 15:11:34: FastFire * Nick: <~^007^~> , IP: <212.57.145.150> , SteamID: <STEAM_0:4:535227830> , Ping: <67>
L 01/26/2011 - 15:11:47: FastFire * Nick: <~^007^~> , IP: <212.57.145.150> , SteamID: <STEAM_0:4:535227830> , Ping: <54>
L 01/26/2011 - 15:11:49: FastFire * Nick: <~^007^~> , IP: <212.57.145.150> , SteamID: <STEAM_0:4:535227830> , Ping: <57>
L 01/26/2011 - 15:11:51: FastFire * Nick: <~^007^~> , IP: <212.57.145.150> , SteamID: <STEAM_0:4:535227830> , Ping: <67>
L 01/26/2011 - 15:11:52: FastFire * Nick: <~^007^~> , IP: <212.57.145.150> , SteamID: <STEAM_0:4:535227830> , Ping: <75>
L 01/26/2011 - 15:11:54: FastFire * Nick: <~^007^~> , IP: <212.57.145.150> , SteamID: <STEAM_0:4:535227830> , Ping: <76>
L 01/26/2011 - 15:13:49: FastFire * Nick: <~^007^~> , IP: <212.57.145.150> , SteamID: <STEAM_0:4:535227830> , Ping: <77>
L 01/26/2011 - 15:14:39: FastFire * Nick: <~^007^~> , IP: <212.57.145.150> , SteamID: <STEAM_0:4:535227830> , Ping: <69>
L 01/26/2011 - 15:14:51: FastFire * Nick: <~^007^~> , IP: <212.57.145.150> , SteamID: <STEAM_0:4:535227830> , Ping: <70>
L 01/27/2011 - 00:51:01: FastFire * Nick: <Player name> , IP: <188.113.13.122> , SteamID: <STEAM_0:0:1751687271> , Ping: <105>
L 01/28/2011 - 14:44:51: FastFire * Nick: <[All-CS.Net.Ru] User> , IP: <85.174.27.16> , SteamID: <STEAM_0:4:1554228854> , Ping: <87>
L 01/28/2011 - 14:44:53: FastFire * Nick: <[All-CS.Net.Ru] User> , IP: <85.174.27.16> , SteamID: <STEAM_0:4:1554228854> , Ping: <103>
L 01/31/2011 - 13:26:06: FastFire * Nick: <dls> , IP: <178.129.91.47> , SteamID: <STEAM_0:0:763012233> , Ping: <43>
L 02/01/2011 - 00:21:15: FastFire * Nick: <[CS-REDEMAX] Player name> , IP: <95.52.156.20> , SteamID: <STEAM_0:4:1591765875> , Ping: <50>
L 02/01/2011 - 21:36:27: FastFire * Nick: <TuMoXa> , IP: <2.95.95.228> , SteamID: <STEAM_0:4:646045405> , Ping: <110>
L 02/02/2011 - 02:06:25: FastFire * Nick: <No_Control> , IP: <178.64.226.122> , SteamID: <STEAM_0:4:1776242949> , Ping: <37>
L 02/04/2011 - 12:35:34: FastFire * Nick: <bumer*> , IP: <93.90.109.94> , SteamID: <STEAM_0:0:1705188461> , Ping: <50>
L 02/04/2011 - 22:34:06: FastFire * Nick: <Pushkanama> , IP: <80.252.16.11> , SteamID: <STEAM_0:4:1361448820> , Ping: <69>
L 02/04/2011 - 22:34:08: FastFire * Nick: <Pushkanama> , IP: <80.252.16.11> , SteamID: <STEAM_0:4:1361448820> , Ping: <53>
L 02/05/2011 - 14:55:13: FastFire * Nick: <[31_rUmHa3u9I_TeAm]_::XAHTEP::_> , IP: <95.30.77.99> , SteamID: <STEAM_0:0:1639777987> , Ping: <62>
L 02/05/2011 - 14:55:24: FastFire * Nick: <[31_rUmHa3u9I_TeAm]_::XAHTEP::_> , IP: <95.30.77.99> , SteamID: <STEAM_0:0:1639777987> , Ping: <43>
L 02/05/2011 - 18:48:50: FastFire * Nick: <KAK TAK ?!?!?!??! 0o> , IP: <78.36.90.202> , SteamID: <STEAM_0:0:2071781429> , Ping: <39>
L 02/05/2011 - 18:48:52: FastFire * Nick: <KAK TAK ?!?!?!??! 0o> , IP: <78.36.90.202> , SteamID: <STEAM_0:0:2071781429> , Ping: <45>
L 02/05/2011 - 18:48:55: FastFire * Nick: <KAK TAK ?!?!?!??! 0o> , IP: <78.36.90.202> , SteamID: <STEAM_0:0:2071781429> , Ping: <31>
L 02/05/2011 - 18:49:00: FastFire * Nick: <KAK TAK ?!?!?!??! 0o> , IP: <78.36.90.202> , SteamID: <STEAM_0:0:2071781429> , Ping: <12>
L 02/05/2011 - 18:49:01: FastFire * Nick: <KAK TAK ?!?!?!??! 0o> , IP: <78.36.90.202> , SteamID: <STEAM_0:0:2071781429> , Ping: <58>
L 02/06/2011 - 06:49:03: FastFire * Nick: <cema> , IP: <188.65.50.77> , SteamID: <STEAM_0:4:1916227970> , Ping: <47>
L 02/06/2011 - 06:49:14: FastFire * Nick: <cema> , IP: <188.65.50.77> , SteamID: <STEAM_0:4:1916227970> , Ping: <51>
L 02/06/2011 - 16:13:48: FastFire * Nick: <J.o.N.1.k> , IP: <91.221.154.9> , SteamID: <STEAM_0:4:1348673521> , Ping: <103>
L 02/09/2011 - 20:11:45: FastFire * Nick: <~^9^~> , IP: <95.110.120.179> , SteamID: <STEAM_0:4:219301491> , Ping: <169>
L 02/11/2011 - 19:07:17: FastFire * Nick: <[CHEATER]lYeSsl> , IP: <94.241.59.34> , SteamID: <STEAM_0:4:1169394163> , Ping: <112>
L 02/12/2011 - 14:24:56: FastFire * Nick: <TyT Huk ecTb?????> , IP: <94.51.113.227> , SteamID: <STEAM_0:4:622258419> , Ping: <133>
L 02/12/2011 - 14:24:57: FastFire * Nick: <TyT Huk ecTb?????> , IP: <94.51.113.227> , SteamID: <STEAM_0:4:622258419> , Ping: <79>
L 02/12/2011 - 14:24:59: FastFire * Nick: <TyT Huk ecTb?????> , IP: <94.51.113.227> , SteamID: <STEAM_0:4:622258419> , Ping: <11>
L 02/12/2011 - 14:25:04: FastFire * Nick: <TyT Huk ecTb?????> , IP: <94.51.113.227> , SteamID: <STEAM_0:4:622258419> , Ping: <19>
L 02/12/2011 - 14:25:05: FastFire * Nick: <TyT Huk ecTb?????> , IP: <94.51.113.227> , SteamID: <STEAM_0:4:622258419> , Ping: <109>
L 02/12/2011 - 14:25:06: FastFire * Nick: <TyT Huk ecTb?????> , IP: <94.51.113.227> , SteamID: <STEAM_0:4:622258419> , Ping: <183>
L 02/12/2011 - 14:25:07: FastFire * Nick: <TyT Huk ecTb?????> , IP: <94.51.113.227> , SteamID: <STEAM_0:4:622258419> , Ping: <58>
L 02/12/2011 - 22:05:53: FastFire * Nick: <r neme> , IP: <213.88.6.41> , SteamID: <STEAM_0:4:1076714806> , Ping: <43>
L 02/13/2011 - 12:33:09: FastFire * Nick: <[BaIkAL][DjoKeR][38 rus]> , IP: <90.188.228.96> , SteamID: <STEAM_0:4:1692151665> , Ping: <157>
L 02/13/2011 - 17:32:53: FastFire * Nick: <<Makson_))))> , IP: <109.229.72.121> , SteamID: <STEAM_0:0:2033793403> , Ping: <68>
L 02/13/2011 - 17:32:54: FastFire * Nick: <<Makson_))))> , IP: <109.229.72.121> , SteamID: <STEAM_0:0:2033793403> , Ping: <63>
L 02/13/2011 - 17:32:55: FastFire * Nick: <<Makson_))))> , IP: <109.229.72.121> , SteamID: <STEAM_0:0:2033793403> , Ping: <58>
L 02/13/2011 - 17:42:56: FastFire * Nick: <Alena> , IP: <109.229.74.160> , SteamID: <STEAM_0:0:2033793403> , Ping: <58>
L 02/13/2011 - 17:48:22: FastFire * Nick: <Alena> , IP: <109.229.76.144> , SteamID: <STEAM_0:0:2033793403> , Ping: <35>
L 02/13/2011 - 17:48:23: FastFire * Nick: <Alena> , IP: <109.229.76.144> , SteamID: <STEAM_0:0:2033793403> , Ping: <45>
L 02/13/2011 - 17:48:24: FastFire * Nick: <Alena> , IP: <109.229.76.144> , SteamID: <STEAM_0:0:2033793403> , Ping: <38>
L 02/14/2011 - 00:58:33: FastFire * Nick: <Next Map> , IP: <95.182.87.3> , SteamID: <STEAM_0:0:1910823552> , Ping: <6>
L 02/14/2011 - 00:58:43: FastFire * Nick: <Next Map> , IP: <95.182.87.3> , SteamID: <STEAM_0:0:1910823552> , Ping: <27>
L 02/14/2011 - 11:04:06: FastFire * Nick: <Etalking|`Zhuan.Sha.Z*Bi.d`> , IP: <109.205.248.151> , SteamID: <STEAM_0:4:525473770> , Ping: <8>
L 02/14/2011 - 11:04:14: FastFire * Nick: <MERDA> , IP: <109.205.248.151> , SteamID: <STEAM_0:4:525473770> , Ping: <33>
L 02/14/2011 - 11:04:15: FastFire * Nick: <VSF> , IP: <109.205.248.151> , SteamID: <STEAM_0:4:525473770> , Ping: <37>
L 02/14/2011 - 11:04:16: FastFire * Nick: <FDP> , IP: <109.205.248.151> , SteamID: <STEAM_0:4:525473770> , Ping: <48>
L 02/14/2011 - 11:04:17: FastFire * Nick: <~CARALHO> , IP: <109.205.248.151> , SteamID: <STEAM_0:4:525473770> , Ping: <52>
L 02/14/2011 - 18:30:56: FastFire * Nick: <*No*ARTIFICIAL> , IP: <188.134.42.227> , SteamID: <STEAM_0:0:364334128> , Ping: <72>
L 02/15/2011 - 01:47:36: FastFire * Nick: <kent> , IP: <84.204.88.47> , SteamID: <STEAM_0:0:1172227764> , Ping: <50>
L 02/15/2011 - 15:33:02: FastFire * Nick: <Player [CS-HLDS.RU]> , IP: <91.122.2.192> , SteamID: <STEAM_0:4:883903601> , Ping: <19>
L 02/15/2011 - 21:02:37: FastFire * Nick: <kaka> , IP: <88.147.131.2> , SteamID: <STEAM_0:4:1441773808> , Ping: <103>
L 02/15/2011 - 21:02:40: FastFire * Nick: <kaka> , IP: <88.147.131.2> , SteamID: <STEAM_0:4:1441773808> , Ping: <88>
L 02/18/2011 - 16:48:26: FastFire * Nick: <Lomi-Mv> , IP: <95.52.192.147> , SteamID: <STEAM_0:4:491678579> , Ping: <55>
L 02/19/2011 - 23:46:06: FastFire * Nick: <r neme> , IP: <213.88.6.41> , SteamID: <STEAM_0:4:1076714806> , Ping: <36>
L 02/20/2011 - 19:45:45: FastFire * Nick: <eee> , IP: <95.54.104.166> , SteamID: <STEAM_0:4:127560307> , Ping: <56>
L 02/20/2011 - 20:50:06: FastFire * Nick: <Koba> , IP: <95.52.220.7> , SteamID: <STEAM_0:4:1463839603> , Ping: <58>
L 02/21/2011 - 11:44:28: FastFire * Nick: <SHOoK))> , IP: <46.150.234.3> , SteamID: <STEAM_0:4:1432042059> , Ping: <28>
L 02/21/2011 - 19:09:21: FastFire * Nick: <RU$^team | 0_o{Exc1u$ive}o_0> , IP: <85.174.72.168> , SteamID: <STEAM_0:4:9053814> , Ping: <86>
L 02/21/2011 - 19:09:22: FastFire * Nick: <RU$^team | 0_o{Exc1u$ive}o_0> , IP: <85.174.72.168> , SteamID: <STEAM_0:4:9053814> , Ping: <103>
L 02/24/2011 - 18:02:28: FastFire * Nick: <www> , IP: <62.33.208.159> , SteamID: <STEAM_0:4:457597379> , Ping: <19>
L 02/26/2011 - 08:33:14: FastFire * Nick: <spark> , IP: <178.67.105.247> , SteamID: <STEAM_0:0:22803511> , Ping: <9>
L 02/26/2011 - 08:33:15: FastFire * Nick: <spark> , IP: <178.67.105.247> , SteamID: <STEAM_0:0:22803511> , Ping: <30>
L 02/26/2011 - 08:33:18: FastFire * Nick: <spark> , IP: <178.67.105.247> , SteamID: <STEAM_0:0:22803511> , Ping: <25>
L 02/26/2011 - 16:11:25: FastFire * Nick: <Melkaya> , IP: <92.101.135.245> , SteamID: <STEAM_0:4:778945522> , Ping: <30>
L 02/28/2011 - 18:38:41: FastFire * Nick: <Pla> , IP: <95.30.11.62> , SteamID: <STEAM_0:4:1269562995> , Ping: <10>
L 02/28/2011 - 18:38:52: FastFire * Nick: <Pla> , IP: <95.30.11.62> , SteamID: <STEAM_0:4:1269562995> , Ping: <4>
L 02/28/2011 - 18:49:34: FastFire * Nick: <[BAN9's_pro_team]PRO> , IP: <88.201.148.231> , SteamID: <STEAM_0:0:2030264116> , Ping: <41>
L 02/28/2011 - 18:49:35: FastFire * Nick: <[BAN9's_pro_team]PRO> , IP: <88.201.148.231> , SteamID: <STEAM_0:0:2030264116> , Ping: <45>
L 02/28/2011 - 18:49:37: FastFire * Nick: <[BAN9's_pro_team]PRO> , IP: <88.201.148.231> , SteamID: <STEAM_0:0:2030264116> , Ping: <46>
L 03/02/2011 - 21:25:58: FastFire * Nick: <_-_*$*@*n*4*e*$*_-_> , IP: <95.134.71.81> , SteamID: <STEAM_0:4:2081272435> , Ping: <143>
L 03/03/2011 - 08:31:02: FastFire * Nick: <L@DA 99> , IP: <92.101.183.31> , SteamID: <STEAM_0:0:1569311700> , Ping: <19>
L 03/03/2011 - 08:31:06: FastFire * Nick: <L@DA 99> , IP: <92.101.183.31> , SteamID: <STEAM_0:0:1569311700> , Ping: <31>
L 03/03/2011 - 08:31:08: FastFire * Nick: <L@DA 99> , IP: <92.101.183.31> , SteamID: <STEAM_0:0:1569311700> , Ping: <25>
L 03/03/2011 - 08:31:09: FastFire * Nick: <L@DA 99> , IP: <92.101.183.31> , SteamID: <STEAM_0:0:1569311700> , Ping: <1>
L 03/03/2011 - 21:50:01: FastFire * Nick: <_-_*$*@*n*4*e*$*_-_> , IP: <95.134.162.18> , SteamID: <STEAM_0:4:1577005683> , Ping: <91>
L 03/04/2011 - 17:26:31: FastFire * Nick: <_-_*$*@*n*4*e*$*_-_> , IP: <95.134.106.15> , SteamID: <STEAM_0:4:1394291315> , Ping: <94>
L 03/04/2011 - 19:04:49: FastFire * Nick: <Slimer> , IP: <178.207.57.167> , SteamID: <STEAM_0:0:1297864288> , Ping: <70>
L 03/04/2011 - 23:18:41: FastFire * Nick: <Player> , IP: <109.169.129.15> , SteamID: <STEAM_0:4:1399760362> , Ping: <47>
L 03/04/2011 - 23:18:42: FastFire * Nick: <Player> , IP: <109.169.129.15> , SteamID: <STEAM_0:4:1399760362> , Ping: <38>
L 03/04/2011 - 23:18:46: FastFire * Nick: <Player> , IP: <109.169.129.15> , SteamID: <STEAM_0:4:1399760362> , Ping: <44>
L 03/04/2011 - 23:18:48: FastFire * Nick: <Player> , IP: <109.169.129.15> , SteamID: <STEAM_0:4:1399760362> , Ping: <58>
L 03/04/2011 - 23:18:49: FastFire * Nick: <Player> , IP: <109.169.129.15> , SteamID: <STEAM_0:4:1399760362> , Ping: <66>
L 03/05/2011 - 02:35:22: FastFire * Nick: <[war3ft.ru]LENYA> , IP: <95.52.101.119> , SteamID: <STEAM_0:0:896492563> , Ping: <39>
L 03/05/2011 - 02:35:29: FastFire * Nick: <[war3ft.ru]LENYA> , IP: <95.52.101.119> , SteamID: <STEAM_0:0:896492563> , Ping: <29>
L 03/05/2011 - 08:57:57: FastFire * Nick: <{BaIkaL}{KaMa^SuTrA][Irk~38ru}> , IP: <92.124.46.124> , SteamID: <STEAM_0:4:1790529394> , Ping: <42>
L 03/05/2011 - 08:58:03: FastFire * Nick: <{BaIkaL}{KaMa^SuTrA][Irk~38ru}> , IP: <92.124.46.124> , SteamID: <STEAM_0:4:1790529394> , Ping: <83>
L 03/05/2011 - 17:32:56: FastFire * Nick: <[P] okjlonnik Amx(eP)> , IP: <178.205.37.220> , SteamID: <STEAM_0:0:191506903> , Ping: <78>
L 03/05/2011 - 17:33:04: FastFire * Nick: <[P] okjlonnik Amx(eP)> , IP: <178.205.37.220> , SteamID: <STEAM_0:0:191506903> , Ping: <56>
L 03/05/2011 - 18:43:22: FastFire * Nick: <MoMoMo> , IP: <94.180.41.220> , SteamID: <STEAM_0:0:1161943430> , Ping: <96>
L 03/05/2011 - 21:23:07: FastFire * Nick: <MaJIeHbKuu!> , IP: <93.90.111.122> , SteamID: <STEAM_0:0:1705188461> , Ping: <46>
L 03/05/2011 - 21:23:08: FastFire * Nick: <MaJIeHbKuu!> , IP: <93.90.111.122> , SteamID: <STEAM_0:0:1705188461> , Ping: <43>
L 03/05/2011 - 21:23:10: FastFire * Nick: <MaJIeHbKuu!> , IP: <93.90.111.122> , SteamID: <STEAM_0:0:1705188461> , Ping: <48>
L 03/05/2011 - 21:23:11: FastFire * Nick: <MaJIeHbKuu!> , IP: <93.90.111.122> , SteamID: <STEAM_0:0:1705188461> , Ping: <50>
L 03/05/2011 - 21:23:13: FastFire * Nick: <MaJIeHbKuu!> , IP: <93.90.111.122> , SteamID: <STEAM_0:0:1705188461> , Ping: <52>
L 03/05/2011 - 21:23:14: FastFire * Nick: <MaJIeHbKuu!> , IP: <93.90.111.122> , SteamID: <STEAM_0:0:1705188461> , Ping: <47>
L 03/05/2011 - 21:23:16: FastFire * Nick: <MaJIeHbKuu!> , IP: <93.90.111.122> , SteamID: <STEAM_0:0:1705188461> , Ping: <63>
L 03/05/2011 - 21:23:17: FastFire * Nick: <MaJIeHbKuu!> , IP: <93.90.111.122> , SteamID: <STEAM_0:0:1705188461> , Ping: <48>
L 03/05/2011 - 21:23:18: FastFire * Nick: <MaJIeHbKuu!> , IP: <93.90.111.122> , SteamID: <STEAM_0:0:1705188461> , Ping: <62>
L 03/06/2011 - 13:30:54: FastFire * Nick: <:D> , IP: <178.34.178.28> , SteamID: <STEAM_0:4:1526161413> , Ping: <90>
L 03/08/2011 - 20:12:43: FastFire * Nick: <ChEaTeR> , IP: <77.247.27.135> , SteamID: <STEAM_0:4:388205306> , Ping: <12>
L 03/12/2011 - 20:54:35: FastFire * Nick: <DEDE> , IP: <78.37.192.51> , SteamID: <STEAM_0:0:966305187> , Ping: <72>
L 03/14/2011 - 22:46:56: FastFire * Nick: <r neme> , IP: <213.88.4.87> , SteamID: <STEAM_0:4:2133613878> , Ping: <13>
L 03/16/2011 - 19:33:31: FastFire * Nick: <-=WebesT=-tm|Dj RaZaR> , IP: <217.150.58.29> , SteamID: <STEAM_0:0:23768819> , Ping: <57>
L 03/18/2011 - 16:12:00: FastFire * Nick: <Pro cs (Tm) KaSS_Alex> , IP: <94.141.57.136> , SteamID: <STEAM_0:4:280147955> , Ping: <59>
L 03/18/2011 - 16:12:01: FastFire * Nick: <Pro cs (Tm) KaSS_Alex> , IP: <94.141.57.136> , SteamID: <STEAM_0:4:280147955> , Ping: <25>
L 03/18/2011 - 16:12:04: FastFire * Nick: <Pro cs (Tm) KaSS_Alex> , IP: <94.141.57.136> , SteamID: <STEAM_0:4:280147955> , Ping: <27>
L 03/18/2011 - 16:12:08: FastFire * Nick: <Pro cs (Tm) KaSS_Alex> , IP: <94.141.57.136> , SteamID: <STEAM_0:4:280147955> , Ping: <26>
L 03/19/2011 - 18:04:43: FastFire * Nick: <MANY> , IP: <95.130.133.113> , SteamID: <STEAM_0:0:287192993> , Ping: <235>
L 03/19/2011 - 20:37:52: FastFire * Nick: <http . jhad> , IP: <80.77.160.69> , SteamID: <STEAM_0:4:1987991540> , Ping: <29>
L 03/20/2011 - 15:14:52: FastFire * Nick: <NOOOOOB> , IP: <91.96.171.134> , SteamID: <STEAM_0:1:20817225> , Ping: <108>
L 03/21/2011 - 17:19:03: FastFire * Nick: <^__^> , IP: <194.146.153.130> , SteamID: <STEAM_0:4:367179837> , Ping: <368>
L 03/21/2011 - 17:19:10: FastFire * Nick: <^__^> , IP: <194.146.153.130> , SteamID: <STEAM_0:4:367179837> , Ping: <402>
L 03/22/2011 - 12:25:38: FastFire * Nick: <[.:headmaster:.]@MozArta> , IP: <95.53.189.37> , SteamID: <STEAM_0:0:428051696> , Ping: <35>
L 03/25/2011 - 08:38:17: FastFire * Nick: <[.:.].:.:-=XxSxIxLxBxExPxX=-:.:> , IP: <90.150.41.252> , SteamID: <STEAM_0:0:2113727388> , Ping: <68>
L 03/25/2011 - 08:38:18: FastFire * Nick: <[.:.].:.:-=XxSxIxLxBxExPxX=-:.:> , IP: <90.150.41.252> , SteamID: <STEAM_0:0:2113727388> , Ping: <74>
L 03/25/2011 - 08:38:27: FastFire * Nick: <[.:.].:.:-=XxSxIxLxBxExPxX=-:.:> , IP: <90.150.41.252> , SteamID: <STEAM_0:0:2113727388> , Ping: <378>
L 03/25/2011 - 08:38:28: FastFire * Nick: <[.:.].:.:-=XxSxIxLxBxExPxX=-:.:> , IP: <90.150.41.252> , SteamID: <STEAM_0:0:2113727388> , Ping: <105>
L 03/25/2011 - 21:36:15: FastFire * Nick: <AToMHblu E)l(uK> , IP: <178.252.87.163> , SteamID: <STEAM_0:0:828064946> , Ping: <34>
L 03/25/2011 - 21:36:16: FastFire * Nick: <AToMHblu E)l(uK> , IP: <178.252.87.163> , SteamID: <STEAM_0:0:828064946> , Ping: <22>
L 03/26/2011 - 11:37:03: FastFire * Nick: <Virtys.pro | NoooBi))> , IP: <178.206.125.151> , SteamID: <STEAM_0:0:1533341274> , Ping: <91>
L 03/28/2011 - 11:57:48: FastFire * Nick: <-=WebesT=-tm|Dj RaZaR> , IP: <217.150.58.29> , SteamID: <STEAM_0:0:23768819> , Ping: <43>
L 03/29/2011 - 15:13:58: FastFire * Nick: <cheters*[tm].yE6oK  >>> , IP: <78.36.145.165> , SteamID: <STEAM_0:4:107406203> , Ping: <62>
L 04/02/2011 - 15:27:54: FastFire * Nick: <GrafVI> , IP: <91.122.175.246> , SteamID: <STEAM_0:4:804899953> , Ping: <34>
L 04/02/2011 - 15:27:55: FastFire * Nick: <GrafVI> , IP: <91.122.175.246> , SteamID: <STEAM_0:4:804899953> , Ping: <33>
L 04/02/2011 - 15:27:56: FastFire * Nick: <GrafVI> , IP: <91.122.175.246> , SteamID: <STEAM_0:4:804899953> , Ping: <33>
L 04/02/2011 - 15:27:57: FastFire * Nick: <GrafVI> , IP: <91.122.175.246> , SteamID: <STEAM_0:4:804899953> , Ping: <27>
L 04/02/2011 - 15:28:00: FastFire * Nick: <GrafVI> , IP: <91.122.175.246> , SteamID: <STEAM_0:4:804899953> , Ping: <36>
L 04/02/2011 - 23:19:06: FastFire * Nick: <dimaaaaaa> , IP: <95.28.6.225> , SteamID: <STEAM_0:0:290090369> , Ping: <85>
L 04/04/2011 - 21:57:05: FastFire * Nick: <sasha> , IP: <91.210.206.31> , SteamID: <STEAM_0:0:898054984> , Ping: <59>
L 04/04/2011 - 22:34:04: FastFire * Nick: <Barabashka> , IP: <91.203.67.31> , SteamID: <STEAM_0:4:1527747825> , Ping: <45>
L 04/04/2011 - 22:34:09: FastFire * Nick: <Barabashka> , IP: <91.203.67.31> , SteamID: <STEAM_0:4:1527747825> , Ping: <137>
L 04/04/2011 - 22:34:13: FastFire * Nick: <Barabashka> , IP: <91.203.67.31> , SteamID: <STEAM_0:4:1527747825> , Ping: <52>
L 04/05/2011 - 16:26:18: FastFire * Nick: <dimaaaaaa> , IP: <95.26.189.243> , SteamID: <STEAM_0:0:290090369> , Ping: <72>
L 04/05/2011 - 19:34:22: FastFire * Nick: <.:E[X]Trime:.> , IP: <90.150.126.66> , SteamID: <STEAM_0:0:493458283> , Ping: <101>
L 04/05/2011 - 19:34:23: FastFire * Nick: <.:E[X]Trime:.> , IP: <90.150.126.66> , SteamID: <STEAM_0:0:493458283> , Ping: <91>
L 04/05/2011 - 19:34:24: FastFire * Nick: <.:E[X]Trime:.> , IP: <90.150.126.66> , SteamID: <STEAM_0:0:493458283> , Ping: <88>
L 04/05/2011 - 19:34:26: FastFire * Nick: <.:E[X]Trime:.> , IP: <90.150.126.66> , SteamID: <STEAM_0:0:493458283> , Ping: <74>
